experiment,level,urgent,strategy,rule,batch,M,L,lag_ac,week_start,week_end,X_batch_mean
A_urgent_slots,10,10,1,1,1,45,16,9,51,95,0.45340415
A_urgent_slots,10,10,1,1,2,45,16,9,96,140,0.45136941
A_urgent_slots,10,10,1,1,3,45,16,9,141,185,0.44880529
A_urgent_slots,10,10,1,1,4,45,16,9,186,230,0.44386299
A_urgent_slots,10,10,1,1,5,45,16,9,231,275,0.46498533
A_urgent_slots,10,10,1,1,6,45,16,9,276,320,0.41522046
A_urgent_slots,10,10,1,1,7,45,16,9,321,365,0.43024730
A_urgent_slots,10,10,1,1,8,45,16,9,366,410,0.43626738
A_urgent_slots,10,10,1,1,9,45,16,9,411,455,0.43772583
A_urgent_slots,10,10,1,1,10,45,16,9,456,500,0.50911316
A_urgent_slots,10,10,1,1,11,45,16,9,501,545,0.45731071
A_urgent_slots,10,10,1,1,12,45,16,9,546,590,0.43361417
A_urgent_slots,10,10,1,1,13,45,16,9,591,635,0.41961240
A_urgent_slots,10,10,1,1,14,45,16,9,636,680,0.48165659
A_urgent_slots,10,10,1,1,15,45,16,9,681,725,0.43953728
A_urgent_slots,10,10,1,1,16,45,16,9,726,770,0.44906919
A_urgent_slots,11,11,1,1,1,65,16,13,51,115,0.44717280
A_urgent_slots,11,11,1,1,2,65,16,13,116,180,0.43219655
A_urgent_slots,11,11,1,1,3,65,16,13,181,245,0.43996285
A_urgent_slots,11,11,1,1,4,65,16,13,246,310,0.41683598
A_urgent_slots,11,11,1,1,5,65,16,13,311,375,0.43757981
A_urgent_slots,11,11,1,1,6,65,16,13,376,440,0.42671990
A_urgent_slots,11,11,1,1,7,65,16,13,441,505,0.48058314
A_urgent_slots,11,11,1,1,8,65,16,13,506,570,0.44079595
A_urgent_slots,11,11,1,1,9,65,16,13,571,635,0.41004628
A_urgent_slots,11,11,1,1,10,65,16,13,636,700,0.46577357
A_urgent_slots,11,11,1,1,11,65,16,13,701,765,0.43794654
A_urgent_slots,11,11,1,1,12,65,16,13,766,830,0.45180271
A_urgent_slots,11,11,1,1,13,65,16,13,831,895,0.45719537
A_urgent_slots,11,11,1,1,14,65,16,13,896,960,0.44478812
A_urgent_slots,11,11,1,1,15,65,16,13,961,1025,0.44110625
A_urgent_slots,11,11,1,1,16,65,16,13,1026,1090,0.45719235
A_urgent_slots,12,12,1,1,1,65,16,13,51,115,0.43952894
A_urgent_slots,12,12,1,1,2,65,16,13,116,180,0.42426246
A_urgent_slots,12,12,1,1,3,65,16,13,181,245,0.43860731
A_urgent_slots,12,12,1,1,4,65,16,13,246,310,0.40573933
A_urgent_slots,12,12,1,1,5,65,16,13,311,375,0.42018893
A_urgent_slots,12,12,1,1,6,65,16,13,376,440,0.41949992
A_urgent_slots,12,12,1,1,7,65,16,13,441,505,0.47929675
A_urgent_slots,12,12,1,1,8,65,16,13,506,570,0.44404329
A_urgent_slots,12,12,1,1,9,65,16,13,571,635,0.41005707
A_urgent_slots,12,12,1,1,10,65,16,13,636,700,0.46039082
A_urgent_slots,12,12,1,1,11,65,16,13,701,765,0.41638428
A_urgent_slots,12,12,1,1,12,65,16,13,766,830,0.43705972
A_urgent_slots,12,12,1,1,13,65,16,13,831,895,0.46161429
A_urgent_slots,12,12,1,1,14,65,16,13,896,960,0.43577957
A_urgent_slots,12,12,1,1,15,65,16,13,961,1025,0.43440781
A_urgent_slots,12,12,1,1,16,65,16,13,1026,1090,0.44631696
A_urgent_slots,13,13,1,1,1,190,16,38,51,240,0.43015599
A_urgent_slots,13,13,1,1,2,190,16,38,241,430,0.40957715
A_urgent_slots,13,13,1,1,3,190,16,38,431,620,0.44126819
A_urgent_slots,13,13,1,1,4,190,16,38,621,810,0.43274080
A_urgent_slots,13,13,1,1,5,190,16,38,811,1000,0.44448045
A_urgent_slots,13,13,1,1,6,190,16,38,1001,1190,0.45323672
A_urgent_slots,13,13,1,1,7,190,16,38,1191,1380,0.44883692
A_urgent_slots,13,13,1,1,8,190,16,38,1381,1570,0.45321399
A_urgent_slots,13,13,1,1,9,190,16,38,1571,1760,0.44283942
A_urgent_slots,13,13,1,1,10,190,16,38,1761,1950,0.43876477
A_urgent_slots,13,13,1,1,11,190,16,38,1951,2140,0.44470778
A_urgent_slots,13,13,1,1,12,190,16,38,2141,2330,0.42190888
A_urgent_slots,13,13,1,1,13,190,16,38,2331,2520,0.43734674
A_urgent_slots,13,13,1,1,14,190,16,38,2521,2710,0.45365075
A_urgent_slots,13,13,1,1,15,190,16,38,2711,2900,0.45089369
A_urgent_slots,13,13,1,1,16,190,16,38,2901,3090,0.42745920
A_urgent_slots,14,14,1,1,1,220,16,44,51,270,0.42848175
A_urgent_slots,14,14,1,1,2,220,16,44,271,490,0.42377667
A_urgent_slots,14,14,1,1,3,220,16,44,491,710,0.43308375
A_urgent_slots,14,14,1,1,4,220,16,44,711,930,0.44040185
