experiment,urgent,strategy,rule,rep,X_raw,X_cv,YE,YU,el_app,ur_scan
A_urgent_slots,10,1,1,0,0.449486,0.457942,67888,5986,13.153458,3.340722
A_urgent_slots,10,1,1,1,0.468868,0.462395,68967,6019,15.850598,3.370673
A_urgent_slots,10,1,1,2,0.449639,0.454918,68049,6042,13.480834,3.324567
A_urgent_slots,10,1,1,3,0.459608,0.460391,68357,6064,14.561720,3.356379
A_urgent_slots,10,1,1,4,0.456455,0.461771,68084,6015,13.833867,3.366993
A_urgent_slots,10,1,1,5,0.465683,0.463360,68427,6181,14.078767,3.436931
A_urgent_slots,10,1,1,6,0.456645,0.459279,68275,6023,14.230524,3.347459
A_urgent_slots,10,1,1,7,0.465503,0.461264,68779,6033,15.414073,3.363776
A_urgent_slots,10,1,1,8,0.461054,0.459825,68381,6155,14.954737,3.348339
A_urgent_slots,10,1,1,9,0.454822,0.463853,67696,6092,13.699314,3.359509
A_urgent_slots,10,1,1,10,0.457042,0.461878,68332,5864,14.955855,3.312169
A_urgent_slots,10,1,1,11,0.461920,0.466656,68118,6022,14.534468,3.378651
A_urgent_slots,10,1,1,12,0.453046,0.458768,68038,6026,13.369509,3.361192
A_urgent_slots,10,1,1,13,0.460189,0.466466,68013,6014,14.305606,3.375332
A_urgent_slots,10,1,1,14,0.455869,0.462622,67726,6193,13.206584,3.395322
A_urgent_slots,10,1,1,15,0.449256,0.456485,67989,5980,13.010914,3.346295
A_urgent_slots,11,1,1,0,0.440413,0.451348,67888,5986,14.137093,3.206372
A_urgent_slots,11,1,1,1,0.464724,0.455981,68970,6019,17.631045,3.237996
A_urgent_slots,11,1,1,2,0.440967,0.447995,68049,6042,14.444937,3.194868
A_urgent_slots,11,1,1,3,0.453352,0.454537,68357,6064,15.872271,3.229868
A_urgent_slots,11,1,1,4,0.448633,0.455562,68084,6015,14.852356,3.242033
A_urgent_slots,11,1,1,5,0.459767,0.457478,68427,6181,15.282477,3.319203
A_urgent_slots,11,1,1,6,0.448929,0.452343,68275,6023,15.371252,3.216897
A_urgent_slots,11,1,1,7,0.460484,0.454835,68779,6033,16.933503,3.237205
A_urgent_slots,11,1,1,8,0.456391,0.455321,68386,6155,16.386180,3.229685
A_urgent_slots,11,1,1,9,0.446945,0.459228,67696,6092,14.791400,3.230105
A_urgent_slots,11,1,1,10,0.451634,0.457091,68332,5864,16.346033,3.189023
A_urgent_slots,11,1,1,11,0.454862,0.461041,68119,6022,15.843153,3.245014
A_urgent_slots,11,1,1,12,0.444301,0.451830,68038,6026,14.343996,3.230283
A_urgent_slots,11,1,1,13,0.453185,0.461348,68015,6014,15.432960,3.251896
A_urgent_slots,11,1,1,14,0.446563,0.456401,67725,6193,14.169948,3.259964
A_urgent_slots,11,1,1,15,0.439109,0.448381,67989,5980,13.886504,3.208062
A_urgent_slots,12,1,1,0,0.433097,0.446254,67888,5986,15.856218,3.048435
A_urgent_slots,12,1,1,1,0.465064,0.453787,68970,6019,20.390544,3.093226
A_urgent_slots,12,1,1,2,0.432635,0.441547,68050,6042,16.119979,3.030149
A_urgent_slots,12,1,1,3,0.444627,0.446504,68355,6064,17.885699,3.043477
A_urgent_slots,12,1,1,4,0.441125,0.449592,68084,6015,16.675429,3.076803
A_urgent_slots,12,1,1,5,0.449660,0.448591,68427,6181,17.347558,3.117606
A_urgent_slots,12,1,1,6,0.444790,0.448895,68276,6023,17.356096,3.073315
A_urgent_slots,12,1,1,7,0.453907,0.446693,68780,6033,19.227460,3.055125
A_urgent_slots,12,1,1,8,0.453022,0.453052,68391,6155,18.645354,3.078339
A_urgent_slots,12,1,1,9,0.438616,0.454778,67698,6092,16.605478,3.057965
A_urgent_slots,12,1,1,10,0.446127,0.450795,68333,5864,18.518776,3.023064
A_urgent_slots,12,1,1,11,0.451133,0.458741,68119,6022,18.188676,3.085804
A_urgent_slots,12,1,1,12,0.436246,0.445653,68036,6026,15.926797,3.072991
A_urgent_slots,12,1,1,13,0.444422,0.454389,68017,6014,17.296740,3.073185
A_urgent_slots,12,1,1,14,0.438034,0.452456,67724,6193,15.847985,3.093306
A_urgent_slots,12,1,1,15,0.431028,0.442009,67989,5980,15.392304,3.054666
A_urgent_slots,13,1,1,0,0.430486,0.446857,67888,5986,17.285522,2.948361
A_urgent_slots,13,1,1,1,0.471367,0.456824,68966,6019,23.656609,2.974982
A_urgent_slots,13,1,1,2,0.433149,0.444631,68050,6042,17.912266,2.938759
A_urgent_slots,13,1,1,3,0.451897,0.454571,68355,6064,20.357331,2.976503
A_urgent_slots,13,1,1,4,0.441016,0.451685,68083,6015,18.512296,2.977416
A_urgent_slots,13,1,1,5,0.452335,0.452395,68427,6181,19.499957,3.026377
A_urgent_slots,13,1,1,6,0.444824,0.449806,68281,6023,19.522113,2.957591
A_urgent_slots,13,1,1,7,0.459363,0.450117,68778,6033,21.647155,2.974599
